Dates,Susceptible,VaccinatedSusceptible
30/04/2022,-51248,503650
01/05/2022,-51585,503572
02/05/2022,-52003,503467
03/05/2022,-52315,503372
04/05/2022,-52609,503293
05/05/2022,-52893,503222
06/05/2022,-53141,503168
,,
,,
,,
,,
